0,22.00,9,100
1,7.00,4,4
2,22.00,9,100
3,8.00,8,82
4,3.00,10,83
5,7.00,10,83
6,8.00,4,4
7,2.00,6,62
8,0.00,5,5
9,0.00,9,62
10,3.00,4,4
11,0.00,8,62
12,2.00,9,83
13,34.00,10,100
14,7.00,6,62
15,6.00,6,22
16,42.00,9,100
17,7.00,6,42
18,2.00,9,62
19,10.00,10,82
20,8.00,4,4
21,9.00,6,42
22,28.00,9,100
23,5.00,5,5
24,10.00,9,62
25,8.00,7,42
26,5.00,7,42
27,15.00,10,100
28,17.00,8,100
29,8.00,4,4
30,16.00,9,100
31,51.00,8,100
32,37.00,9,100
33,5.00,7,62
34,2.00,5,22
35,1.00,7,62
36,0.00,7,42
37,2.00,9,82
38,14.00,8,100
39,10.00,8,42
40,39.00,8,100
41,9.00,6,22
42,4.00,7,62
43,16.00,9,100
44,18.00,9,100
45,11.00,9,100
46,27.00,9,100
47,6.00,9,82
48,5.00,9,63
49,8.00,6,42
50,3.00,7,62
51,5.00,5,62
52,10.00,4,4
53,3.00,8,62
54,20.00,8,100
55,3.00,5,5
56,10.00,8,62
57,5.00,6,22
58,14.00,9,100
59,28.00,10,100
60,23.00,10,100
61,2.00,9,82
62,6.00,7,42
63,5.00,9,63
64,6.00,4,4
65,14.00,9,100
66,1.00,10,83
67,5.00,4,22
68,7.00,6,22
69,29.00,9,100
70,24.00,8,100
71,24.00,8,100
72,10.00,4,4
73,13.00,9,100
74,72.00,8,100
75,6.00,8,82
76,4.00,5,22
77,0.00,4,4
78,7.00,6,22
79,39.00,8,100
80,11.00,9,100
81,6.00,7,42
82,2.00,8,62
83,7.00,9,63
84,20.00,8,100
85,8.00,8,82
86,50.00,9,100
87,6.00,7,62
88,23.00,9,100
89,9.00,6,42
90,1.00,9,62
91,12.00,8,100
92,1.00,7,42
93,4.00,4,4
94,7.00,6,22
95,7.00,6,22
96,45.00,9,100
97,7.00,8,42
98,31.00,8,100
99,8.00,8,62
100,7.00,6,42
101,0.00,6,42
102,1.00,6,6
103,10.00,7,22
104,3.00,8,62
105,9.00,5,22
106,41.00,8,100
107,2.00,4,22
108,15.00,8,100
109,17.00,8,100
110,5.00,7,82
111,49.00,9,100
112,7.00,3,3
113,0.00,5,82
114,22.00,9,100
115,30.00,8,100
116,6.00,4,42
117,6.00,5,22
118,4.00,6,22
119,13.00,4,100
120,17.00,8,100
121,13.00,8,100
122,31.00,9,100
123,7.00,5,5
124,7.00,9,82
125,50.00,9,100
126,5.00,6,22
127,0.00,9,62
128,5.00,5,62
129,4.00,10,82
130,6.00,5,22
131,45.00,8,100
132,14.00,7,100
133,12.00,9,100
134,17.00,9,100
135,34.00,9,100
136,7.00,7,42
137,2.00,6,6
138,4.00,7,42
139,9.00,5,5
140,0.00,8,82
141,3.00,6,82
142,2.00,4,4
143,4.00,10,83
144,8.00,7,42
145,15.00,8,100
146,5.00,9,82
147,8.00,7,42
148,12.00,9,100
149,33.00,8,100
150,3.00,5,22
151,14.00,8,100
152,10.00,5,22
153,10.00,9,82
154,1.00,5,6
155,15.00,8,100
156,7.00,6,42
157,5.00,7,62
158,2.00,7,62
159,0.00,6,22
160,3.00,7,62
161,2.00,5,22
162,6.00,4,4
163,36.00,9,100
164,13.00,9,100
165,25.00,8,100
166,47.00,9,100
167,5.00,6,22
168,8.00,5,5
169,26.00,8,100
170,2.00,9,82
171,8.00,5,22
172,10.00,8,82
173,10.00,9,82
174,18.00,8,100
175,6.00,5,22
176,36.00,9,100
177,4.00,12,83
178,32.00,8,100
179,0.00,5,22
180,11.00,8,100
181,4.00,4,4
182,52.00,8,100
183,6.00,10,83
184,7.00,6,22
185,14.00,10,100
186,45.00,9,100
187,4.00,10,82
188,10.00,8,82
189,12.00,9,100
190,14.00,6,100
191,0.00,7,62
192,7.00,5,5
193,28.00,8,100
194,19.00,9,100
195,25.00,9,100
196,13.00,8,100
197,8.00,4,4
198,14.00,6,100
199,56.00,8,100
200,21.00,9,100
201,7.00,11,83
202,41.00,9,100
203,27.00,8,100
204,9.00,4,4
205,30.00,9,100
206,10.00,7,42
207,7.00,5,22
208,31.00,8,100
209,4.00,3,3
210,12.00,8,100
211,13.00,6,100
212,3.00,8,62
213,10.00,7,62
214,16.00,7,100
215,49.00,9,100
216,62.00,8,100
217,10.00,7,82
218,0.00,4,4
219,10.00,3,3
220,58.00,9,100
221,6.00,5,5
222,1.00,9,82
223,9.00,7,42
224,2.00,7,42
225,8.00,6,42
226,8.00,6,42
227,10.00,3,3
228,12.00,9,100
229,3.00,9,82
230,20.00,8,100
231,8.00,4,4
232,51.00,8,100
233,26.00,9,100
234,54.00,8,100
235,28.00,9,100
236,4.00,6,42
237,9.00,6,22
238,56.00,8,100
239,48.00,8,100
240,29.00,9,100
241,6.00,6,42
242,10.00,5,5
243,27.00,9,100
244,22.00,10,100
245,8.00,4,4
246,8.00,6,22
247,2.00,7,42
248,8.00,7,62
249,7.00,8,82
250,11.00,9,100
251,32.00,9,100
252,55.00,9,100
253,17.00,7,100
254,7.00,4,4
255,42.00,10,100
256,5.00,5,22
257,7.00,7,42
258,7.00,8,62
259,26.00,8,100
260,21.00,8,100
261,7.00,5,5
262,19.00,9,100
263,18.00,8,100
264,3.00,6,42
265,7.00,9,82
266,3.00,8,82
267,1.00,8,62
268,10.00,6,22
269,1.00,5,6
270,5.00,4,5
271,8.00,7,82
272,3.00,4,4
273,4.00,6,22
274,35.00,9,100
275,27.00,7,100
276,53.00,8,100
277,26.00,9,100
278,5.00,4,6
279,1.00,7,42
280,9.00,8,82
281,52.00,9,100
282,34.00,8,100
283,3.00,6,22
284,4.00,5,22
285,22.00,9,100
286,4.00,6,22
287,12.00,9,100
288,3.00,8,82
289,9.00,5,22
290,5.00,4,4
291,29.00,8,100
292,10.00,5,5
293,12.00,8,100
294,9.00,4,4
295,28.00,9,100
296,6.00,9,82
297,55.00,8,100
298,12.00,8,100
299,18.00,8,100
300,10.00,6,22
301,8.00,7,62
302,4.00,7,62
303,4.00,4,4
304,31.00,9,100
305,1.00,6,42
306,10.00,8,42
307,23.00,9,100
308,33.00,9,100
309,10.00,6,62
310,6.00,7,22
311,10.00,8,82
312,25.00,9,100
313,6.00,4,4
314,7.00,5,5
315,51.00,8,100
316,9.00,7,42
317,66.00,9,100
318,14.00,6,100
319,6.00,5,62
320,15.00,8,100
321,8.00,6,42
322,27.00,9,100
323,16.00,8,100
324,7.00,6,42
325,12.00,6,100
326,37.00,9,100
327,34.00,9,100
328,12.00,9,100
329,81.00,8,100
330,9.00,6,42
331,9.00,7,62
332,7.00,4,4
333,37.00,8,100
334,6.00,7,82
335,8.00,6,22
336,3.00,5,22
337,4.00,3,3
338,10.00,7,42
339,3.00,6,42
340,5.00,6,6
341,3.00,4,4
342,2.00,9,83
343,6.00,5,22
344,11.00,8,100
345,6.00,5,42
346,52.00,8,100
347,9.00,7,42
348,7.00,8,62
349,2.00,6,42
350,6.00,7,62
351,33.00,8,100
352,12.00,7,100
353,50.00,8,100
354,2.00,7,82
355,37.00,8,100
356,12.00,9,100
357,62.00,8,100
358,31.00,9,100
359,10.00,7,22
360,8.00,5,42
361,49.00,7,100
362,6.00,6,62
363,11.00,8,100
364,28.00,8,100
365,8.00,6,42
366,4.00,6,22
367,8.00,7,82
368,3.00,4,4
369,7.00,6,22
370,4.00,9,62
371,7.00,4,4
372,5.00,4,4
373,8.00,8,82
374,55.00,8,100
375,12.00,8,100
376,39.00,7,100
377,2.00,4,4
378,0.00,8,82
379,8.00,5,22
380,29.00,8,100
381,86.00,7,100
382,9.00,8,62
383,8.00,6,42
384,3.00,4,4
385,27.00,7,100
386,7.00,7,62
387,4.00,9,82
388,6.00,8,82
389,32.00,9,100
390,4.00,5,5
391,8.00,5,62
392,39.00,7,100
393,7.00,4,4
394,62.00,8,100
395,41.00,8,100
396,13.00,6,100
397,23.00,8,100
398,7.00,7,42
399,19.00,7,100
400,7.00,4,4
401,1.00,6,42
402,60.00,8,100
403,10.00,4,4
404,2.00,4,22
405,3.00,6,82
406,6.00,7,62
407,29.00,9,100
408,0.00,7,42
409,7.00,5,62
410,5.00,7,42
411,8.00,8,62
412,9.00,7,42
413,0.00,8,42
414,55.00,7,100
415,9.00,3,3
416,9.00,6,42
417,4.00,8,42
418,25.00,7,100
419,2.00,7,42
420,18.00,7,100
421,18.00,7,100
422,10.00,3,3
423,24.00,9,100
424,36.00,8,100
425,6.00,8,82
426,0.00,8,82
427,62.00,7,100
428,10.00,3,3
429,44.00,8,100
430,6.00,4,4
431,11.00,8,100
432,23.00,7,100
433,49.00,7,100
434,2.00,5,5
435,70.00,9,100
436,5.00,9,82
437,7.00,5,22
438,14.00,7,100
439,1.00,4,4
440,28.00,9,100
441,10.00,3,3
442,7.00,9,83
443,28.00,8,100
444,5.00,4,4
445,9.00,4,4
446,1.00,3,3
447,13.00,7,100
448,9.00,7,82
449,38.00,9,100
450,58.00,9,100
451,2.00,5,82
452,21.00,9,100
453,2.00,7,22
454,0.00,9,82
455,7.00,4,4
456,3.00,6,42
457,31.00,9,100
458,14.00,6,100
459,1.00,7,22
460,39.00,9,100
461,60.00,7,100
462,5.00,8,62
463,27.00,7,100
464,58.00,8,100
465,24.00,8,100
466,32.00,9,100
467,24.00,7,100
468,1.00,3,3
469,7.00,5,5
